ID,Name,Reinforce Type ID,Physical Attack,Magic Attack,Fire Attack,Lightning Attack,Holy Attack,Stamina Attack,Str Scaling,Dex Scaling,Int Scaling,Fai Scaling,Arc Scaling,Physical Guard,Magic Guard,Fire Guard,Lightning Guard,Holy Guard,Guard Boost,Resistance Guard,Upgrade Price,Effect 1,Effect 1 Type,Effect 2,Effect 2 Type,Attack Element Correct ID,Infusable,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Weapon Type,Physical Damage Type,Caption,Weight,Attack Power (Critical),2H Str Bonus,Base Poise Attack,Sort Group Type,Sort Group ID,Sort ID
1060000,Celebrant's Sickle,0,79,0,0,0,0,28,15,67,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007000
1060100,Celebrant's Heavy Sickle,100,75,0,0,0,0,28,49,0,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007001
1060200,Celebrant's Keen Sickle,5000,75,0,0,0,0,28,16,69,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007002
1060300,Celebrant's Quality Sickle,300,75,0,0,0,0,28,57,57,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007003
1060400,Celebrant's Fire Sickle,400,75,0,75,0,0,28,41,8,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10005,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007005
1060500,Celebrant's Flame Art Sickle,500,75,0,75,0,0,28,4,20,0,44,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007006
1060600,Celebrant's Lightning Sickle,600,75,0,0,75,0,28,8,41,0,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007007
1060700,Celebrant's Sacred Sickle,700,75,0,0,0,75,28,4,20,0,44,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007008
1060800,Celebrant's Magic Sickle,800,75,75,0,0,0,28,4,20,48,0,0,35,20,20,20,20,15,10,120,-1,None,-1,None,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007004
1060900,Celebrant's Cold Sickle,900,75,64,0,0,0,28,13,60,36,0,0,35,20,20,20,20,15,10,120,-1,None,107500,Frost,10000,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007011
1061000,Celebrant's Poison Sickle,1000,75,0,0,0,0,28,14,63,0,0,30,35,20,20,20,20,15,10,120,-1,None,106000,Poison,10013,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007009
1061100,Celebrant's Blood Sickle,1100,75,0,0,0,0,28,14,63,0,0,30,35,20,20,20,20,15,10,120,105000,Blood,-1,None,10013,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007010
1061200,Celebrant's Occult Sickle,1200,75,0,0,0,0,28,6,26,0,0,73,35,20,20,20,20,15,10,120,-1,None,-1,None,10013,Yes,25,6,11,0,0,0,Dagger,Slash/Pierce,,1.5,100,Yes,3,1,10,1007012
1070000,Glintstone Kris,2200,57,68,0,0,0,28,10,45,40,0,0,23,45,14,14,14,15,10,120,-1,None,-1,None,10000,No,10,5,12,16,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1012000
1080000,Scorpion's Stinger,2200,79,0,0,0,0,31,30,70,0,0,0,38,22,22,22,22,16,11,180,-1,None,6600,Rot,10000,No,10,6,12,0,0,0,Dagger,Slash/Pierce,,2.5,110,Yes,3,1,10,1010000
1090000,Great Knife,0,75,0,0,0,0,30,5,80,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003000
1090100,Heavy Great Knife,100,72,0,0,0,0,30,54,0,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003001
1090200,Keen Great Knife,5000,72,0,0,0,0,30,17,72,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003002
1090300,Quality Great Knife,300,72,0,0,0,0,30,62,62,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003003
1090400,Fire Great Knife,400,72,0,72,0,0,30,46,8,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10005,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003005
1090500,Flame Art Great Knife,500,72,0,72,0,0,30,4,24,0,51,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003006
1090600,Lightning Great Knife,600,72,0,0,72,0,30,8,46,0,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003007
1090700,Sacred Great Knife,700,72,0,0,0,72,30,4,24,0,51,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003008
1090800,Magic Great Knife,800,72,72,0,0,0,30,4,24,55,0,0,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003004
1090900,Cold Great Knife,900,72,61,0,0,0,30,4,72,42,0,0,35,20,20,20,20,15,10,130,6406,Blood,107500,Frost,10000,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003011
1091000,Poison Great Knife,1000,72,0,0,0,0,30,4,76,0,0,30,35,20,20,20,20,15,10,130,6406,Blood,106000,Poison,10013,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003009
1091100,Blood Great Knife,1100,72,0,0,0,0,30,4,76,0,0,30,35,20,20,20,20,15,10,130,105050,Blood,-1,None,10013,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003010
1091200,Occult Great Knife,1200,72,0,0,0,0,30,4,32,0,0,80,35,20,20,20,20,15,10,130,6406,Blood,-1,None,10013,Yes,25,6,12,0,0,0,Dagger,Slash/Pierce,,1.5,110,Yes,3,1,10,1003012
1100000,Wakizashi,0,94,0,0,0,0,33,34,45,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006000
1100100,Heavy Wakizashi,100,90,0,0,0,0,33,44,0,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006001
1100200,Keen Wakizashi,200,90,0,0,0,0,33,7,45,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006002
1100300,Quality Wakizashi,300,90,0,0,0,0,33,55,55,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006003
1100400,Fire Wakizashi,400,90,0,90,0,0,33,34,7,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10005,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006005
1100500,Flame Art Wakizashi,500,90,0,90,0,0,33,10,13,0,37,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006006
1100600,Lightning Wakizashi,600,90,0,0,90,0,33,7,34,0,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006007
1100700,Sacred Wakizashi,700,90,0,0,0,90,33,10,13,0,37,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006008
1100800,Magic Wakizashi,800,90,90,0,0,0,33,10,13,39,0,0,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006004
1100900,Cold Wakizashi,900,90,77,0,0,0,33,30,40,35,0,0,42,24,24,24,24,18,12,200,6406,Blood,107500,Frost,10000,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006011
1101000,Poison Wakizashi,1000,90,0,0,0,0,33,32,42,0,0,30,42,24,24,24,24,18,12,200,6406,Blood,106000,Poison,10013,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006009
1101100,Blood Wakizashi,1100,90,0,0,0,0,33,32,42,0,0,30,42,24,24,24,24,18,12,200,105050,Blood,-1,None,10013,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006010
1101200,Occult Wakizashi,1200,90,0,0,0,0,33,13,18,0,0,67,42,24,24,24,24,18,12,200,6406,Blood,-1,None,10013,Yes,25,9,13,0,0,0,Dagger,Slash/Pierce,,3,100,Yes,3,1,10,1006012
1110000,Cinquedea,2200,98,0,0,0,0,34,57,17,0,0,0,43,25,25,25,25,18,12,230,-1,None,-1,None,10000,No,10,10,10,0,0,0,Dagger,Slash/Pierce,,3.5,100,Yes,3,1,10,1011000
1130000,Ivory Sickle,0,60,60,0,0,0,28,23,59,40,0,0,26,42,15,15,15,15,10,160,-1,None,-1,None,10000,No,25,6,11,13,0,0,Dagger,Slash/Pierce,,2,100,Yes,3,1,10,1008000
1140000,Bloodstained Dagger,0,81,0,0,0,0,30,70,20,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004000
1140100,Heavy Bloodstained Dagger,6000,77,0,0,0,0,30,67,0,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004001
1140200,Keen Bloodstained Dagger,200,77,0,0,0,0,30,13,48,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004002
1140300,Quality Bloodstained Dagger,300,77,0,0,0,0,30,58,58,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004003
1140400,Fire Bloodstained Dagger,400,77,0,77,0,0,30,43,9,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10005,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004005
1140500,Flame Art Bloodstained Dagger,500,77,0,77,0,0,30,21,6,0,46,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004006
1140600,Lightning Bloodstained Dagger,600,77,0,0,77,0,30,9,43,0,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004007
1140700,Sacred Bloodstained Dagger,700,77,0,0,0,77,30,21,6,0,46,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004008
1140800,Magic Bloodstained Dagger,800,77,77,0,0,0,30,21,6,50,0,0,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004004
1140900,Cold Bloodstained Dagger,900,77,65,0,0,0,30,63,18,40,0,0,36,21,21,21,21,15,10,150,6406,Blood,107500,Frost,10000,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004011
1141000,Poison Bloodstained Dagger,1000,77,0,0,0,0,30,66,19,0,0,30,36,21,21,21,21,15,10,150,6406,Blood,106000,Poison,10013,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004009
1141100,Blood Bloodstained Dagger,1100,77,0,0,0,0,30,66,19,0,0,30,36,21,21,21,21,15,10,150,105050,Blood,-1,None,10013,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004010
1141200,Occult Bloodstained Dagger,1200,77,0,0,0,0,30,28,8,0,0,76,36,21,21,21,21,15,10,150,6406,Blood,-1,None,10013,Yes,25,9,12,0,0,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1004012
1150000,Erdsteel Dagger,0,67,0,0,0,0,30,30,30,0,30,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005000
1150100,Heavy Erdsteel Dagger,100,64,0,0,0,0,30,50,0,0,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005001
1150200,Keen Erdsteel Dagger,200,64,0,0,0,0,30,9,52,0,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005002
1150300,Quality Erdsteel Dagger,300,64,0,0,0,0,30,63,63,0,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005003
1150400,Fire Erdsteel Dagger,400,64,0,64,0,0,30,41,9,0,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12005,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005005
1150500,Flame Art Erdsteel Dagger,500,64,0,64,0,0,30,9,9,0,55,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005006
1150600,Lightning Erdsteel Dagger,600,64,0,0,64,0,30,9,41,0,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005007
1150700,Sacred Erdsteel Dagger,700,64,0,0,0,64,30,9,9,0,55,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005008
1150800,Magic Erdsteel Dagger,800,64,64,0,0,0,30,9,9,50,24,0,36,21,21,21,21,15,10,150,-1,None,-1,None,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005004
1150900,Cold Erdsteel Dagger,900,64,54,0,0,0,30,27,27,49,24,0,36,21,21,21,21,15,10,150,-1,None,107500,Frost,12000,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005011
1151000,Poison Erdsteel Dagger,1000,64,0,0,0,0,30,28,28,0,24,30,36,21,21,21,21,15,10,150,-1,None,106000,Poison,12005,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005009
1151100,Blood Erdsteel Dagger,1100,64,0,0,0,0,30,28,28,0,24,30,36,21,21,21,21,15,10,150,105000,Blood,-1,None,12005,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005010
1151200,Occult Erdsteel Dagger,1200,64,0,0,0,0,30,12,12,0,24,79,36,21,21,21,21,15,10,150,-1,None,-1,None,12005,Yes,25,7,12,0,14,0,Dagger,Slash/Pierce,,2,110,Yes,3,1,10,1005012
