Weapon Class,Weapon,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,BS Whiff,Backstab,Riposte,Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
Dagger,Crystal Knife,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Scorpion's Stinger,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Cinquedea,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Glintstone Kris,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Reduvia,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,Pierce,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Blade of Calling,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
Dagger,Black Knife,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash + Slash,Slash + Slash,Slash + Slash,Slash + Slash + Slash,Slash,Pierce,Pierce,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Pierce,Pierce,Pierce,,,,,,Slash + Slash + Slash,Slash + Slash,Slash + Slash,Pierce + Slash + Slash,,,Slash + Pierce,Slash + Slash,Pierce + Pierce,Slash + Slash,,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash,Slash
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Sword,Short Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,Pierce,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,Pierce,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Longsword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Broadsword,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Weathered Straight Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Lordsworn's Straight Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Noble's Slender Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Cane Sword,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Warhawk's Talon,Standard,Standard,Standard,Standard,Standard,,Standard + Standard,Standard,Standard + Standard,Standard + Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard + Standard,Standard,Standard + Standard,Standard + Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Lazuli Glintstone Sword,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Carian Knight's Sword,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Crystal Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Rotten Crystal Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Miquellan Knight's Sword,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Ornamental Straight Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard + Pierce,Pierce + Pierce,Standard + Standard,Pierce + Pierce,Standard + Pierce + Pierce,Standard + Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Golden Epitaph,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Sword of St. Trina,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Regalia of Eochaid,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Coded Sword,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Straight Sword,Sword of Night and Flame,Standard,Standard,Standard,Standard,Standard,,Pierce,Standard,Pierce,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,,Pierce + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greatsword,Bastard Sword,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Standard + Standard,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Greatsword,Claymore,Standard,Standard,Standard,Standard,,,Pierce,Pierce,Pierce,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Pierce,Pierce,Pierce,Pierce,Standard,Standard,Pierce,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Standard + Standard,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Greatsword,Iron Greatsword,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Pierce,Pierce,Pierce,,,,,,Standard + Standard,Standard + Standard,Standard + Standard,,,,Standard + Standard,Standard + Standard,Pierce + Pierce,Standard + Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
